model,sampler,fold,tn,fp,fn,tp
CatBoost,NearMiss,2,340,1479,35,65
CatBoost,NearMiss,3,335,1484,37,63
CatBoost,NearMiss,4,393,1425,32,68
CatBoost,NearMiss,5,440,1378,31,69
CatBoost,NearMiss,6,439,1380,33,67
CatBoost,NearMiss,7,444,1375,37,63
CatBoost,NearMiss,8,327,1492,27,73
CatBoost,NearMiss,9,399,1419,27,73
CatBoost,NearMiss,10,308,1510,29,71
CatBoost,NearMiss,11,394,1425,32,68
CatBoost,NearMiss,12,409,1410,26,74
CatBoost,NearMiss,13,307,1512,28,72
CatBoost,NearMiss,14,423,1395,34,66
CatBoost,NearMiss,15,400,1418,32,68
CatBoost,TomekLinks,1,1787,32,93,7
CatBoost,TomekLinks,2,1806,13,94,6
CatBoost,TomekLinks,3,1804,15,96,4
CatBoost,TomekLinks,4,1800,18,91,9
CatBoost,TomekLinks,5,1799,19,94,6
CatBoost,TomekLinks,6,1797,22,93,7
CatBoost,TomekLinks,7,1805,14,96,4
CatBoost,TomekLinks,8,1798,21,94,6
CatBoost,TomekLinks,9,1794,24,96,4
CatBoost,TomekLinks,10,1811,7,98,2
CatBoost,TomekLinks,11,1801,18,96,4
CatBoost,TomekLinks,12,1798,21,93,7
CatBoost,TomekLinks,13,1795,24,96,4
CatBoost,TomekLinks,14,1801,17,94,6
CatBoost,TomekLinks,15,1797,21,96,4
CatBoost,ClusterCentroids,1,115,1704,1,99
CatBoost,ClusterCentroids,2,576,1243,0,100
CatBoost,ClusterCentroids,3,395,1424,0,100
CatBoost,ClusterCentroids,4,480,1338,1,99
CatBoost,ClusterCentroids,5,405,1413,0,100
CatBoost,ClusterCentroids,6,577,1242,1,99
CatBoost,ClusterCentroids,7,467,1352,0,100
CatBoost,ClusterCentroids,8,227,1592,0,100
CatBoost,ClusterCentroids,9,520,1298,0,100
CatBoost,ClusterCentroids,10,546,1272,0,100
CatBoost,ClusterCentroids,11,480,1339,0,100
CatBoost,ClusterCentroids,12,476,1343,2,98
CatBoost,ClusterCentroids,13,162,1657,1,99
CatBoost,ClusterCentroids,14,284,1534,0,100
CatBoost,ClusterCentroids,15,517,1301,0,100
CatBoost,SMOTETomek,1,1801,18,95,5
CatBoost,SMOTETomek,2,1805,14,96,4
CatBoost,SMOTETomek,3,1803,16,97,3
CatBoost,SMOTETomek,4,1807,11,93,7
CatBoost,SMOTETomek,5,1808,10,98,2
CatBoost,SMOTETomek,6,1804,15,93,7
CatBoost,SMOTETomek,7,1808,11,99,1
CatBoost,SMOTETomek,8,1808,11,95,5
CatBoost,SMOTETomek,9,1804,14,98,2
CatBoost,SMOTETomek,10,1813,5,98,2
CatBoost,SMOTETomek,11,1806,13,97,3
CatBoost,SMOTETomek,12,1813,6,94,6
CatBoost,SMOTETomek,13,1803,16,96,4
CatBoost,SMOTETomek,14,1808,10,98,2
CatBoost,SMOTETomek,15,1801,17,95,5
CatBoost,SMOTEENN,1,1704,115,74,26
CatBoost,SMOTEENN,2,1718,101,71,29
CatBoost,SMOTEENN,3,1712,107,68,32
CatBoost,SMOTEENN,4,1690,128,66,34
CatBoost,SMOTEENN,5,1719,99,75,25
CatBoost,SMOTEENN,6,1712,107,66,34
CatBoost,SMOTEENN,7,1730,89,67,33
CatBoost,SMOTEENN,8,1724,95,65,35
CatBoost,SMOTEENN,9,1714,104,78,22
CatBoost,SMOTEENN,10,1719,99,71,29
CatBoost,SMOTEENN,11,1710,109,71,29
CatBoost,SMOTEENN,12,1717,102,71,29
CatBoost,SMOTEENN,13,1719,100,72,28
CatBoost,SMOTEENN,14,1727,91,76,24
CatBoost,SMOTEENN,15,1708,110,69,31
LightGBM,No Sampling,1,1807,12,97,3
LightGBM,No Sampling,2,1813,6,100,0
LightGBM,No Sampling,3,1814,5,98,2
LightGBM,No Sampling,4,1810,8,100,0
LightGBM,No Sampling,5,1811,7,99,1
LightGBM,No Sampling,6,1806,13,97,3
LightGBM,No Sampling,7,1813,6,99,1
LightGBM,No Sampling,8,1807,12,97,3
LightGBM,No Sampling,9,1809,9,99,1
LightGBM,No Sampling,10,1813,5,100,0
LightGBM,No Sampling,11,1813,6,99,1
LightGBM,No Sampling,12,1809,10,95,5
LightGBM,No Sampling,13,1813,6,99,1
LightGBM,No Sampling,14,1811,7,99,1
LightGBM,No Sampling,15,1810,8,99,1
LightGBM,Cost Sensitive,1,1579,240,47,53
LightGBM,Cost Sensitive,2,1580,239,46,54
LightGBM,Cost Sensitive,3,1594,225,46,54
LightGBM,Cost Sensitive,4,1577,241,44,56
LightGBM,Cost Sensitive,5,1603,215,48,52
LightGBM,Cost Sensitive,6,1606,213,55,45
LightGBM,Cost Sensitive,7,1580,239,38,62
LightGBM,Cost Sensitive,8,1581,238,52,48
LightGBM,Cost Sensitive,9,1567,251,56,44
LightGBM,Cost Sensitive,10,1617,201,51,49
LightGBM,Cost Sensitive,11,1607,212,41,59
LightGBM,Cost Sensitive,12,1576,243,46,54
LightGBM,Cost Sensitive,13,1604,215,51,49
LightGBM,Cost Sensitive,14,1600,218,53,47
LightGBM,Cost Sensitive,15,1588,230,48,52
LightGBM,RandomOverSampler,1,1557,262,45,55
